,xdot <= -0.57,thetadot > 1.28,theta <= -1.44,-0.20 < x <= 0.02,thetadot <= -1.13,theta > 1.22,0.02 < x <= 0.29,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
38,,,,,,,,,,-0.6577553180716927,-0.008694361364768801,0.008885553314761232,,,,0.00011873419010386492,38
39,-0.6640689345313467,0.0026900679957874685,,,,,,,0.0008161470949189747,,-0.01199330439734524,,,,,,39
40,,0.006472612275874548,-0.011449785048749682,,,,-0.01904798752301079,0.6751306160380528,,,,,,,,,40
41,,,0.008486472240787652,-0.003466242993054754,-0.016902802872381304,,,,,-0.637280983324163,,,,,,,41
42,,,,,,0.0020788312619630846,,,0.007500991337263284,,,0.026837952533635502,,,0.6545241023246978,,42
43,-0.6674950681772688,0.004378918834837454,-0.012802857723906567,,,,0.006398728778685018,,,,,,,,,,43
44,,,,0.02058165274961586,,-0.001233559886362577,,,,-0.6383247889217141,,,,-0.009480776559049412,,,44
45,-0.6579222466303958,,,,,,0.010657535926944508,,,,,0.003745255586732504,-0.003105541973907991,,,,45
46,-0.6547831797880033,,,,,,,,,,0.012410428235402117,0.004511939554499753,,,,-0.0037718942441309893,46
47,-0.6497115688792747,,,,,0.0062470959107738385,,,,,,,,0.010012252031071813,,-0.001924057770202519,47
48,,,,0.0030702620313534964,,,,,,-0.6498802371093503,-0.008993381241775303,0.006546419277096942,,,,,48
49,,,,,,,0.0007831584812126605,,,-0.6637294786899071,-0.010510927837222813,-0.0067120699980966845,,,,,49
50,,,,-0.004071513018077051,,,,,,-0.6602233165556115,,,0.01823364756693882,0.029311254984937515,,,50
51,,,,,,,0.0022599033742628357,,,-0.6500873997220225,0.003251636788397709,-0.0038770301968075412,,,,,51
52,-0.6644811648884454,,,,,-0.004078360651494408,,,,,,0.00033774452354101253,,,,-0.005771973575891028,52
53,,,0.028109324464496932,,,,-0.00511006466333773,,,-0.646959265715914,,,,-0.0042262755267719904,,,53
54,-0.674975713945205,0.012168214534277522,,-0.0017442024594782441,,,,,,,,,-0.008450874422387598,,,,54
55,-0.6533732377001564,,,,,,-0.013878433405130883,,,,,-0.005780586031266517,-0.023842423951352096,,,,55
