,xdot <= -0.57,theta <= -1.44,thetadot > 1.28,-0.20 < x <= 0.02,thetadot <= -1.13,0.02 < x <= 0.29,theta > 1.22,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
24,-0.6553188419984523,,,,,,,,,,,0.007654646922240759,0.000561207078600232,,,-0.003332350417711975,24
25,,,,-0.00721467706205082,,,,,,-0.6664646246966305,,,0.015483422667042822,0.004473527573830312,,,25
26,,,,,,0.007535492578929295,,,,-0.6558751025416755,,9.91983183874683e-05,-0.016558107127513585,,,,26
27,,-0.009038977852350456,0.027038912015810088,,,-0.0036996662510834057,,,,-0.6690718257730094,,,,,,,27
28,,-0.002843191367292301,,,,,,0.6778824554838129,0.009168624636181818,,,-0.0019517846935556238,,,,,28
29,-0.6595592950418296,,,,0.007918785245629143,-0.010404400147095419,-0.0189374268511441,,,,,,,,,,29
30,,,,-0.0017567677242473858,,,,,,-0.6529463931105738,,,0.02608505366718312,0.024440746708418847,,,30
31,-0.6644518147791936,,-0.007843716223814662,,,0.01744924721776273,-0.023302872452038395,,,,,,,,,,31
32,,,-0.013235133712812926,,,-0.005698417441679464,-0.0024707859349633776,0.6575422473199805,,,,,,,,,32
33,-0.6736826854294631,,,,0.002478608519100678,-0.004713854048751542,0.021085774194146135,,,,,,,,,,33
34,,-0.00437229263307696,-0.03128850246943179,,,,,0.6718912437221342,-0.027089170142918114,,,,,,,,34
35,-0.6626249556899395,,-0.0025426891745106775,,,0.011998376051278896,,,,,-0.010658613938815875,,,,,,35
36,,,,,,,,,0.0059403299452548556,-0.6723772955931098,,0.019261828860913106,0.02340935918683539,,,,36
37,,,,,0.013717385336037736,,,0.6893178458840742,,,-0.004767995402063285,,,,,-0.014992819564161736,37
38,,,,,,,,,,-0.667647509352954,-0.023200979856136776,-0.011107901975417493,,,,0.005842468222954321,38
39,-0.6625026190408887,,-0.00221778319536412,,,,,,-0.028038354515760682,,0.011774371519608475,,,,,,39
40,,-0.030530443792803303,0.020063348579453612,,,-0.013722947794373438,,0.6767802000344875,,,,,,,,,40
41,,0.01605060900453121,,0.0007126242684896314,0.0008085539152586521,,,,,-0.6645097254973058,,,,,,,41
42,,,,,,,-0.007516004655074796,,-0.0021696349178237854,,,0.006140918255817406,,,0.6693392940087589,,42
43,-0.6631380134273419,-0.016021404746548923,0.004157925899192279,,,-0.0027623727572953405,,,,,,,,,,,43
44,,,,0.0030458398645415137,,,0.0072338903593679,,,-0.6808689577077597,,,,-0.009141277734866182,,,44
45,-0.6633947899719158,,,,,-0.004369596237833038,,,,,,-0.013751675459525483,0.0051034790413108065,,,,45
46,-0.6659133085128559,,,,,,,,,,-0.010331554173236173,-0.005615301213142973,,,,0.0010322048032710906,46
47,-0.6649441089233398,,,,,,0.0281560751175185,,,,,,,0.03914013745702286,,-0.019820761678140786,47
48,,,,-0.005705454009721622,,,,,,-0.6474446913473425,-0.014197438219855897,0.010762101937548377,,,,,48
49,,,,,,-0.0049393302239348885,,,,-0.6712660775423506,-0.0006023450455037417,0.02253219577929295,,,,,49
50,,,,0.0010914117502347903,,,,,,-0.6506907451775394,,,-0.00013737849220887423,0.006358103428261352,,,50
51,,,,,,0.008672202751958416,,,,-0.675155724811531,-0.005614865156683095,0.025063441349101562,,,,,51
52,-0.6710674516986246,,,,,,0.005372809926351175,,,,,-0.02210877539790139,,,,-0.0010576789603753925,52
53,,-0.0015160694127213997,,,,-0.008684309911028563,,,,-0.6583812222911802,,,,-0.012007419278834001,,,53
54,-0.6657527064532522,,0.008777699108305947,-0.003070155212862577,,,,,,,,,0.010984420682165317,,,,54
55,-0.6576736575854193,,,,,-0.0019359914852055933,,,,,,-0.012615967443455585,0.008439330391946312,,,,55
56,,,0.01221727262428379,,,,-0.02570355358572288,0.6570399633029009,,,,,,,,-0.00931254425169516,56
57,,,,,,-0.018996283207737674,,,,-0.6553907417641712,0.007170721929889286,-0.0028144573563700735,,,,,57
58,,,,-0.01869385077943429,0.01584371369662196,,0.008075600900027723,,,-0.6578470047825085,,,,,,,58
59,,,,-0.0009315823945406493,,,,,,-0.6541437882899974,,,-0.029780367402640125,-0.004564290805049363,,,59
60,,,,-0.00097321926585396,,,,,,-0.673916017133525,,,0.005329584894937842,0.003370839608137348,,,60
61,-0.6644112014190682,,0.021442245985262762,,,,,,0.0034222145288182937,,-0.012477643617165923,,,,,,61
62,,,,-0.016016949177849325,,,0.005529243365614508,0.6597220826078234,,,,,,0.005940825425319923,,,62
63,-0.6653162612898231,-0.012306795966406462,,,,,,,-0.009990678613993196,,,0.002927554959784321,,,,,63
