Name,Test #,Loss,Mean Absolute Error (MAE),Mean Absolute Percentange Error (MAPE) %
Residual Untrained,10,0.0023814698215574026,0.006691704038530588,2.829423666000366
Residual Untrained,11,0.022091221064329147,0.013263008557260036,2.3774783611297607
Residual Untrained,12,0.020000210031867027,0.017897596582770348,16.121746063232422
Residual Trained,1,0.0001791238464647904,0.010691685602068901,25.092147827148438
Residual Trained,2,0.00013567063433583826,0.008959870785474777,6769.7412109375
Residual Trained,3,5.1926141168223694e-05,0.005189648363739252,7.529173374176025
Residual Trained,4,0.00028944341465830803,0.011592631228268147,5.627706050872803
Residual Trained,5,0.17975139617919922,0.12274542450904846,32.114253997802734
Residual Trained,6,0.00014999907580204308,0.008340149186551571,21.345773696899414
Residual Trained,7,0.004345624707639217,0.013145791366696358,11.238532066345215
Residual Trained,8,0.003301468677818775,0.013226601295173168,18.91843605041504
Residual Trained,9,0.0023582966532558203,0.015462596900761127,4.9344024658203125
Residual Trained,10,0.0028831944800913334,0.019700339064002037,4.577625751495361
Residual Trained,11,0.13081900775432587,0.10055167227983475,7.7936248779296875
Residual Trained,12,0.019287751987576485,0.031058911234140396,7.802992343902588
